time,hilbert transform,fft without zero padding,fft with zero padding (4410000),fft with zero padding (441000),comparator
0,49128.32216613677,49105.877147643696,49144.49402881947,49144.37205696271,49143.24083888398
8,49138.6844850642,49105.877147643696,49146.13416240105,49146.66595035596,49144.47559670076
16,49140.44583628728,49105.877147643696,49146.60277199578,49146.66595035596,49147.13675083612
24,49136.20344219503,49105.877147643696,49143.55680962999,49144.37205696271,49145.130083593074
32,49140.05398407637,49105.877147643696,49146.368467198416,49146.66595035596,49150.161093910516
40,49143.04711003541,49105.877147643696,49144.2597240221,49144.37205696271,49148.66842331667
48,49137.89004390404,49105.877147643696,49145.89985760368,49146.66595035596,49144.24808390103
56,49137.59504803346,49105.877147643696,49144.02541922473,49144.37205696271,49143.23282117884
64,49136.02216698015,49105.877147643696,49145.66555280631,49146.66595035596,49144.95368112197
72,49132.25864301115,49105.877147643696,49146.368467198416,49146.66595035596,49144.608898130384
80,49146.28347271981,49105.877147643696,49150.117343956306,49148.9598437492,49151.393191870775
88,49143.298876959416,49105.877147643696,49152.22608713263,49151.25373714245,49154.187445991825
96,49139.37540156196,49105.877147643696,49151.28886794315,49151.25373714245,49151.57064312642
104,49141.779329857345,49105.877147643696,49151.054563145786,49151.25373714245,49151.04531092394
112,49137.27066087114,49105.877147643696,49149.64873436157,49148.9598437492,49148.29050834225
120,49141.87755070731,49105.877147643696,49148.24290557736,49148.9598437492,49148.00883013893
128,49144.16157588331,49105.877147643696,49148.00860077999,49148.9598437492,49146.24766276394
136,49140.17795795568,49105.877147643696,49151.28886794315,49151.25373714245,49151.451339598716
144,49131.907039108206,49105.877147643696,49147.53999118525,49146.66595035596,49148.94409440422
152,49134.13077482678,49105.877147643696,49144.9626384142,49144.37205696271,49144.829398323185
160,49140.17132413936,49105.877147643696,49146.83707679315,49146.66595035596,49152.63337237535
168,49140.27843414058,49105.877147643696,49149.4144295642,49148.9598437492,49150.99317933312
