time,hilbert transform,fft without zero padding,fft with zero padding (441000),fft with zero padding (4410000),comparator
0,49034.5303908894,49156.40311409967,49145.605407239615,49146.05514962347,49084.63486958971
8,48986.64187335667,49156.40311409967,49143.74027233136,49143.86806159225,49000.11440894914
16,48992.61561288745,49156.40311409967,49144.90598164902,49143.86806159225,49055.987995893905
24,49051.04286499047,49156.40311409967,49146.304832830225,49146.05514962347,49039.96955079734
32,49020.02684749353,49156.40311409967,49147.47054214789,49148.2422376547,49021.88654753607
40,48893.59424521135,49156.40311409967,49147.00425842082,49146.05514962347,49008.790768084255
48,49117.547947061896,49156.40311409967,49150.26824451029,49150.42932568592,49136.59947136584
56,49088.33574171638,49156.40311409967,49151.66709569149,49152.61641371714,49080.78994097221
64,49023.46468072857,49156.40311409967,49152.59966314562,49152.61641371714,49122.31734874157
72,48919.25908216179,49156.40311409967,49152.36652128209,49152.61641371714,48971.8495973148
80,49020.42229279105,49156.40311409967,49151.20081196442,49150.42932568592,49065.642293535675
88,48981.587545163726,49156.40311409967,49148.636251465556,49148.2422376547,49002.666655701425
96,49012.638202419745,49156.40311409967,49148.869393329085,49148.2422376547,49050.75994300932
104,49078.581646781575,49156.40311409967,49148.403109602026,49148.2422376547,49079.74457859032
112,49108.32889396367,49156.40311409967,49146.07169096669,49146.05514962347,49108.47448710473
120,48947.85153496125,49156.40311409967,49145.139123512556,49146.05514962347,49018.47794707446
128,48975.39089034978,49156.40311409967,49144.67283978549,49143.86806159225,48997.6333686357
136,49138.80769500952,49156.40311409967,49145.605407239615,49146.05514962347,49118.497507124725
144,49072.11349347237,49156.40311409967,49146.537974693754,49146.05514962347,49108.49734286854
152,48910.78913493213,49156.40311409967,49144.20655605842,49143.86806159225,49099.59952927772
160,49040.89576217847,49156.40311409967,49143.50713046783,49143.86806159225,49081.599539880386
168,49039.68817249866,49156.40311409967,49146.537974693754,49146.05514962347,49028.1017190748
176,48911.567917819964,49156.40311409967,49144.67283978549,49143.86806159225,49010.600114828645
184,48908.535962635215,49156.40311409967,49143.040846740754,49143.86806159225,49013.50188403307
192,49068.74644733683,49156.40311409967,49145.372265376085,49146.05514962347,49000.65771200525
200,49038.39260495037,49156.40311409967,49146.07169096669,49146.05514962347,49113.92061849389
208,49164.09717544602,49156.40311409967,49146.537974693754,49146.05514962347,49155.01530250771
216,49139.12670123735,49156.40311409967,49146.07169096669,49146.05514962347,49120.64615844102
224,49071.60443769427,49156.40311409967,49145.83854910316,49146.05514962347,49113.311151576876
232,49109.07640133366,49156.40311409967,49146.77111655729,49146.05514962347,49077.7429490308
240,49111.889615038686,49156.40311409967,49148.403109602026,49148.2422376547,49099.3588563954
248,49072.66956817224,49156.40311409967,49149.56881891969,49150.42932568592,49108.94152665807
256,49097.21261226039,49156.40311409967,49149.33567705615,49150.42932568592,49140.78089128994
264,49084.14570447061,49156.40311409967,49148.16996773849,49148.2422376547,49103.47197782141
272,48944.57704394298,49156.40311409967,49145.605407239615,49146.05514962347,49054.789264561725
280,49036.06413235104,49156.40311409967,49145.139123512556,49146.05514962347,49105.32913739083
288,49073.887906304015,49156.40311409967,49146.304832830225,49146.05514962347,49122.77468398882
296,49099.768853935406,49156.40311409967,49145.605407239615,49146.05514962347,49108.71173738137
304,49137.35723893972,49156.40311409967,49145.139123512556,49146.05514962347,49089.98236897714
312,49066.46737733271,49156.40311409967,49146.77111655729,49146.05514962347,49091.6188131088
320,49073.14483475623,49156.40311409967,49146.77111655729,49146.05514962347,49078.29992730628
328,49040.82523325311,49156.40311409967,49146.304832830225,49146.05514962347,49096.12959106806
336,49118.7974366854,49156.40311409967,49151.66709569149,49152.61641371714,49144.471316987176
344,49074.77401541599,49156.40311409967,49150.03510264676,49150.42932568592,49112.13232642058
352,49068.481941562655,49156.40311409967,49148.636251465556,49148.2422376547,49129.49062524302
360,48807.67950124248,49156.40311409967,49147.00425842082,49146.05514962347,49059.08307108933
368,49011.5911925384,49156.40311409967,49147.23740028435,49148.2422376547,49100.68886995625
376,49075.78810075837,49156.40311409967,49147.23740028435,49148.2422376547,49082.73026204719
384,48982.375249435056,49156.40311409967,49147.93682587496,49148.2422376547,49105.90726000867
392,49075.58010901985,49156.40311409967,49147.703684011416,49148.2422376547,49108.15995396718
400,49088.08276892939,49156.40311409967,49147.00425842082,49146.05514962347,49106.91763080433
408,48967.07818645125,49156.40311409967,49145.83854910316,49146.05514962347,49079.853537971394
416,49035.067939713816,49156.40311409967,49144.90598164902,49143.86806159225,49104.81245343912
424,49031.6779094814,49156.40311409967,49144.20655605842,49143.86806159225,49084.05363315252
432,49029.54449041145,49156.40311409967,49145.605407239615,49146.05514962347,49082.72870028407
440,48972.632869481546,49156.40311409967,49146.77111655729,49146.05514962347,49066.378059350325
448,49119.75930359616,49156.40311409967,49145.372265376085,49146.05514962347,49083.551496296444
456,48988.82614402154,49156.40311409967,49145.605407239615,49146.05514962347,49111.782779928835
464,49059.89791124353,49156.40311409967,49145.83854910316,49146.05514962347,49103.61028352295
472,48966.6419407325,49156.40311409967,49143.273988604284,49143.86806159225,49055.34145110417
480,49061.74086777158,49156.40311409967,49146.77111655729,49146.05514962347,49153.00280245206
488,48893.04723387379,49156.40311409967,49147.23740028435,49148.2422376547,48962.994484340845
496,48985.72451254788,49156.40311409967,49146.77111655729,49146.05514962347,48949.401258396516
504,49057.52787387125,49156.40311409967,49147.703684011416,49148.2422376547,49107.677217989
512,49063.96020105517,49156.40311409967,49147.93682587496,49148.2422376547,49110.52823722069
520,49027.77874990691,49156.40311409967,49148.403109602026,49148.2422376547,49096.06311840251
