time,hilbert transform,fft without zero padding,fft witho zero padding (441000),fft witho zero padding (4410000),comparator
336,49147.41972687153,49150.183784552784,49148.35298378571,49147.75822741432,49151.75813156192
340,49143.259993483334,49150.183784552784,49146.95066830454,49147.75822741432,49136.82140168235
344,49142.04312985627,49150.183784552784,49147.41810679827,49147.75822741432,49149.69894057152
348,49141.64405179107,49150.183784552784,49146.24951056396,49145.5192515942,49144.64957132793
352,49140.561473294874,49150.183784552784,49145.782072070244,49145.5192515942,49144.40889619569
356,49139.41168721714,49150.183784552784,49146.0157913171,49145.5192515942,49122.609549734225
360,49139.16607599267,49150.183784552784,49145.782072070244,49145.5192515942,49148.354333583644
364,49140.17543543203,49150.183784552784,49145.31463357652,49145.5192515942,49126.48504051333
368,49141.930990022964,49150.183784552784,49145.782072070244,49145.5192515942,49151.80998218115
372,49142.60265155696,49150.183784552784,49147.18438755141,49147.75822741432,49148.31928945807
376,49143.07452361643,49150.183784552784,49147.41810679827,49147.75822741432,49145.17212842488
380,49141.86066022203,49150.183784552784,49144.61347583595,49145.5192515942,49149.455994471115
384,49139.49711476558,49150.183784552784,49143.678598848506,49143.28027577409,49145.844028585096
388,49141.68724910747,49150.183784552784,49144.61347583595,49145.5192515942,49147.15811964551
392,49141.46846371147,49150.183784552784,49144.8471950828,49145.5192515942,49140.70942801705
396,49142.50898251912,49150.183784552784,49145.54835282339,49145.5192515942,49135.50212400049
400,49140.45656059785,49150.183784552784,49144.146037342216,49143.28027577409,49143.14406053224
404,49138.50847508015,49150.183784552784,49143.211160354775,49143.28027577409,49142.00496603396
408,49142.83339240997,49150.183784552784,49144.146037342216,49143.28027577409,49136.19198855326
412,49140.68063353815,49150.183784552784,49145.54835282339,49145.5192515942,49151.438733926145
