time,hilbert transform,fft without zero padding,fft with zero padding (441000),fft with zero padding (4410000),comparator
0,49101.69729903833,49141.77993115235,49146.18662339063,49147.11168936412,49083.30755647067
8,49122.71036701152,49141.77993115235,49147.58199601451,49147.11168936412,49059.39355112096
16,49051.98172504753,49141.77993115235,49147.11687180656,49147.11168936412,49056.653941448676
24,48981.16668786069,49141.77993115235,49147.58199601451,49147.11168936412,49036.536131495064
32,48983.0383093827,49141.77993115235,49148.744806534414,49149.24879906057,48985.92349433245
40,49055.95030114873,49141.77993115235,49148.744806534414,49149.24879906057,49063.586591090854
48,49005.7471035668,49141.77993115235,49148.977368638385,49149.24879906057,49028.49435147816
56,48957.815392368255,49141.77993115235,49147.34943391054,49147.11168936412,49048.71311054642
64,49001.591992186695,49141.77993115235,49147.34943391054,49147.11168936412,49061.5766125794
72,48957.83788173205,49141.77993115235,49147.11687180656,49147.11168936412,49055.08670268836
80,48909.987486401,49141.77993115235,49146.88430970257,49147.11168936412,49028.1381154145
88,48979.53784490277,49141.77993115235,49146.41918549461,49147.11168936412,49004.74415134668
96,48952.48836068632,49141.77993115235,49148.51224443042,49149.24879906057,49003.75592953304
104,48960.913866628165,49141.77993115235,49149.67505495032,49149.24879906057,49039.86026005073
112,48978.174374391594,49141.77993115235,49149.9076170543,49149.24879906057,49055.49233281335
120,49101.57781193921,49141.77993115235,49150.83786547022,49151.38590875704,49125.2618723874
128,49123.33303624547,49141.77993115235,49148.047120222465,49147.11168936412,49123.78586908113
136,49145.60428531687,49141.77993115235,49145.95406128666,49144.97457966767,49108.74439349075
144,49096.75812092007,49141.77993115235,49147.81455811849,49147.11168936412,49107.47270374532
152,49101.32106071977,49141.77993115235,49147.81455811849,49147.11168936412,49110.42485441203
160,49094.7576193586,49141.77993115235,49147.58199601451,49147.11168936412,49096.485942924955
168,49122.48713301273,49141.77993115235,49148.51224443042,49149.24879906057,49136.96113227929
176,49146.84888985843,49141.77993115235,49148.744806534414,49149.24879906057,49108.08995514555
184,49145.4535873298,49141.77993115235,49147.81455811849,49147.11168936412,49146.6977443366
192,49074.978171171446,49141.77993115235,49148.51224443042,49149.24879906057,49131.394685641586
200,49122.16087312118,49141.77993115235,49148.047120222465,49147.11168936412,49123.06461308733
208,49099.278661282326,49141.77993115235,49148.51224443042,49149.24879906057,49117.31431646059
216,49075.85779824626,49141.77993115235,49148.047120222465,49147.11168936412,49122.39896374131
224,49099.17556945747,49141.77993115235,49149.20993074236,49149.24879906057,49101.6513688205
232,49103.22077205335,49141.77993115235,49149.44249284634,49149.24879906057,49119.081849883005
240,49147.5194480329,49141.77993115235,49148.744806534414,49149.24879906057,49142.03333064
248,49120.369608821595,49141.77993115235,49147.58199601451,49147.11168936412,49120.75212704388
256,49141.86276027718,49141.77993115235,49144.79125076676,49144.97457966767,49137.948803230654
264,49050.006761825796,49141.77993115235,49145.023812870735,49144.97457966767,49134.81585078053
272,49071.610870278244,49141.77993115235,49147.58199601451,49147.11168936412,49113.33628271879
280,49097.80728360577,49141.77993115235,49147.34943391054,49147.11168936412,49109.744024942745
288,49100.93987392419,49141.77993115235,49148.744806534414,49149.24879906057,49102.31589961037
296,49124.49842809335,49141.77993115235,49148.977368638385,49149.24879906057,49126.95785250148
304,49053.85043420235,49141.77993115235,49149.44249284634,49149.24879906057,49135.10125722776
312,49122.54576955839,49141.77993115235,49148.977368638385,49149.24879906057,49115.37999425985
320,49147.026053614696,49141.77993115235,49148.27968232644,49149.24879906057,49128.450856941236
328,49075.1287983093,49141.77993115235,49146.41918549461,49147.11168936412,49117.81228545362
336,49145.901337699615,49141.77993115235,49146.41918549461,49147.11168936412,49138.752221020964
344,49101.37753465686,49141.77993115235,49147.34943391054,49147.11168936412,49108.141429406416
352,49072.908349628044,49141.77993115235,49147.34943391054,49147.11168936412,49086.39320377657
360,49125.28191445888,49141.77993115235,49148.047120222465,49147.11168936412,49114.769429256914
368,49122.16815630436,49141.77993115235,49148.27968232644,49149.24879906057,49122.07852096318
376,49076.10029828965,49141.77993115235,49148.744806534414,49149.24879906057,49146.39843673633
384,49127.20836625946,49141.77993115235,49148.744806534414,49149.24879906057,49133.73751018856
392,49098.66144706561,49141.77993115235,49148.51224443042,49149.24879906057,49131.79986900425
400,49073.78065402637,49141.77993115235,49148.51224443042,49149.24879906057,49090.166307556035
408,49124.6097327424,49141.77993115235,49148.27968232644,49149.24879906057,49119.85480738169
416,49073.332366118106,49141.77993115235,49147.81455811849,49147.11168936412,49113.00897818094
424,49098.35052146697,49141.77993115235,49147.58199601451,49147.11168936412,49096.18959969352
432,49118.85067184059,49141.77993115235,49146.65174759859,49147.11168936412,49093.34586373763
440,49027.258346757146,49141.77993115235,49144.79125076676,49144.97457966767,49081.887041184105
448,49017.39078444168,49141.77993115235,49142.465629726976,49142.837469971215,49064.73711537183
456,49095.6554489964,49141.77993115235,49142.93075393493,49142.837469971215,49105.218056486396
464,49141.654472944094,49141.77993115235,49143.62844024686,49142.837469971215,49144.19304690146
472,49142.28749225046,49141.77993115235,49144.558688662786,49144.97457966767,49149.31338840858
480,49095.17505926924,49141.77993115235,49145.023812870735,49144.97457966767,49116.41052722599
488,49028.030199708446,49141.77993115235,49144.79125076676,49144.97457966767,49087.69705182269
496,49071.01540105276,49141.77993115235,49145.48893707869,49144.97457966767,49125.4156258948
504,49073.00102904603,49141.77993115235,49145.721499182684,49144.97457966767,49072.13480515777
512,49026.68282925946,49141.77993115235,49146.18662339063,49147.11168936412,49091.13821626871
520,49049.98367486641,49141.77993115235,49145.95406128666,49144.97457966767,49096.38220656686
528,49096.709946890165,49141.77993115235,49145.95406128666,49144.97457966767,49120.99795331197
536,49100.30676492919,49141.77993115235,49145.721499182684,49144.97457966767,49129.67730210393
544,49145.435551152295,49141.77993115235,49147.34943391054,49147.11168936412,49128.58788876332
552,49051.18806889594,49141.77993115235,49147.11687180656,49147.11168936412,49090.8110188081
560,49098.72802950166,49141.77993115235,49145.721499182684,49144.97457966767,49108.90585570106
568,49046.64613984599,49141.77993115235,49146.41918549461,49147.11168936412,49104.47218593032
576,49053.862071426855,49141.77993115235,49148.27968232644,49149.24879906057,49109.06474553581
584,49101.76249709645,49141.77993115235,49148.51224443042,49149.24879906057,49101.885340580215
592,49122.990041726254,49141.77993115235,49149.20993074236,49149.24879906057,49071.17601764681
600,49124.821786611436,49141.77993115235,49148.51224443042,49149.24879906057,49137.370671913755
608,49146.45348464048,49141.77993115235,49147.11687180656,49147.11168936412,49140.78650070404
616,49123.64280248772,49141.77993115235,49148.744806534414,49149.24879906057,49134.92155149882
624,49076.08437523113,49141.77993115235,49148.51224443042,49149.24879906057,49117.05039520808
632,49099.02757012786,49141.77993115235,49149.20993074236,49149.24879906057,49127.400073980534
640,49146.89049633912,49141.77993115235,49148.977368638385,49149.24879906057,49150.25675578174
648,49120.51402945888,49141.77993115235,49148.047120222465,49147.11168936412,49141.58235263241
656,49089.674670023924,49141.77993115235,49148.977368638385,49149.24879906057,49117.93902037493
664,49029.1279431659,49141.77993115235,49148.977368638385,49149.24879906057,49053.64442609952
672,49100.87464841894,49141.77993115235,49148.27968232644,49149.24879906057,49106.09835880084
680,49094.73680982746,49141.77993115235,49147.58199601451,49147.11168936412,49108.09300220674
688,49049.30874198459,49141.77993115235,49147.11687180656,49147.11168936412,49095.6095653546
696,49117.89300146641,49141.77993115235,49145.95406128666,49147.11168936412,49118.77810970688
704,49073.2324944721,49141.77993115235,49146.18662339063,49147.11168936412,49095.252946972876
712,49120.03086182673,49141.77993115235,49146.18662339063,49147.11168936412,49084.55982230357
720,48952.61179312567,49141.77993115235,49146.18662339063,49147.11168936412,49090.9162316295
728,49121.51569354654,49141.77993115235,49145.721499182684,49144.97457966767,49080.92959226735
736,49069.28791400063,49141.77993115235,49146.41918549461,49147.11168936412,49087.061598727974
744,49097.19888554202,49141.77993115235,49147.58199601451,49147.11168936412,49087.09193926739
752,49098.79350870497,49141.77993115235,49146.65174759859,49147.11168936412,49126.90720896154
760,49095.99643895217,49141.77993115235,49144.79125076676,49144.97457966767,49123.917044036076
768,49141.85739046927,49141.77993115235,49144.09356445483,49144.97457966767,49144.929678901346
776,49118.7154014537,49141.77993115235,49144.79125076676,49144.97457966767,49129.788018018655
784,49115.042388647315,49141.77993115235,49145.023812870735,49144.97457966767,49139.820918962396
792,49050.47493901622,49141.77993115235,49145.48893707869,49144.97457966767,49090.7840164532
800,49000.554991042554,49141.77993115235,49144.558688662786,49144.97457966767,49061.248552021265
808,49138.75575930358,49141.77993115235,49143.62844024686,49142.837469971215,49123.70800992313
816,49097.22959117527,49141.77993115235,49144.558688662786,49144.97457966767,49108.546745705804
824,49121.59857959639,49141.77993115235,49145.48893707869,49144.97457966767,49130.24157109467
