time,hilbert transform,fft without zero padding,fft with zero padding (441000),fft with zero padding (4410000),comparator
0,49069.92730680206,49105.877147643696,49144.72833361684,49144.37205696271,49137.2290783451
8,48937.510642238885,49105.877147643696,49143.55680962999,49144.37205696271,48906.045191616104
16,49172.73365492163,49105.877147643696,49148.24290557736,49148.9598437492,49114.73337738551
24,48952.8010457611,49105.877147643696,49150.585953551046,49151.25373714245,49054.150041447574
32,49153.6342628108,49105.877147643696,49149.4144295642,49148.9598437492,49131.048621110174
40,48950.12490452062,49105.877147643696,49144.72833361684,49144.37205696271,49023.801095620365
48,49143.25139764252,49105.877147643696,49150.585953551046,49151.25373714245,49136.778471106176
56,49051.74095215004,49105.877147643696,49151.52317274052,49151.25373714245,49028.29288863689
64,49050.454277569675,49204.28571908186,49155.74065909315,49155.841523928946,49108.96786147079
72,48931.980805057996,49105.877147643696,49145.89985760368,49146.66595035596,48852.28455414012
80,49132.80920542092,49105.877147643696,49148.00860077999,49148.9598437492,49107.437016117
88,48739.01111589442,49105.877147643696,49147.30568638788,49146.66595035596,49002.810329095184
96,49027.69895200997,49105.877147643696,49144.72833361684,49144.37205696271,49020.57603476349
104,49128.987315068465,49105.877147643696,49147.07138159051,49146.66595035596,49089.346075494825
112,49129.05852607448,49105.877147643696,49147.07138159051,49146.66595035596,49087.51050778058
120,49031.505925857215,49105.877147643696,49144.49402881947,49144.37205696271,48956.40504546564
128,48935.35116516414,49105.877147643696,49140.979456858935,49142.078163569466,49063.53794994104
136,49130.09811152547,49105.877147643696,49143.32250483263,49144.37205696271,49151.86433639252
144,48922.390391721776,49105.877147643696,49140.979456858935,49142.078163569466,49041.47557494475
152,49020.1236984176,49105.877147643696,49142.38528564315,49142.078163569466,49117.472463950064
160,49122.121264577894,49105.877147643696,49141.448066453675,49142.078163569466,49136.358441967124
168,49019.140656288524,49105.877147643696,49148.24290557736,49148.9598437492,49114.09510029172
176,48924.09398038987,49105.877147643696,49141.213761656305,49142.078163569466,49001.383148544715
184,49033.56251012681,49105.877147643696,49139.33932327737,49139.784270176206,49064.8796050725
192,49115.05470947907,49105.877147643696,49143.32250483263,49144.37205696271,49004.89270502714
200,49021.856115669565,49105.877147643696,49147.77429598262,49148.9598437492,49125.756731102294
208,49115.81406074521,49105.877147643696,49149.18012476683,49148.9598437492,49084.50934516767
216,49144.528997886475,49105.877147643696,49145.66555280631,49146.66595035596,49123.017599389066
224,49116.01538341921,49105.877147643696,49144.72833361684,49144.37205696271,49119.64690150232
232,49128.81416165226,49105.877147643696,49148.94581996946,49148.9598437492,49128.20162867044
240,49122.41537112645,49105.877147643696,49148.00860077999,49148.9598437492,49119.67558380368
