time,hilbert transform,fft without zero padding,fft with zero padding (bin width of 10 mHz),fft with zero padding (bin width of 100 mHz),comparator
0,49132.64704780209,49105.877147643696,49144.58619269121,49145.29078467378,49143.24083888398
8,49135.03857603226,49105.877147643696,49146.23024065054,49145.29078467378,49144.47559670076
16,49136.85050131383,49105.877147643696,49146.69996863894,49147.6394246157,49147.13675083612
24,49134.680686756925,49105.877147643696,49143.646736714436,49142.94214473186,49145.130083593074
32,49135.91961961823,49105.877147643696,49146.46510464475,49147.6394246157,49150.161093910516
40,49134.88339351314,49105.877147643696,49144.35132869702,49145.29078467378,49148.66842331667
48,49134.86387486468,49105.877147643696,49145.760512662164,49145.29078467378,49144.24808390103
56,49132.631409725625,49105.877147643696,49144.11646470281,49142.94214473186,49143.23282117884
64,49135.209659539636,49105.877147643696,49145.760512662164,49145.29078467378,49144.95368112197
72,49132.925126257534,49105.877147643696,49146.46510464475,49145.29078467378,49144.608898130384
80,49141.80167208194,49105.877147643696,49149.98806455762,49149.98806455762,49151.393191870775
88,49142.443938303535,49105.877147643696,49152.33670449954,49152.33670449954,49154.187445991825
96,49141.14939651195,49105.877147643696,49151.16238452858,49152.33670449954,49151.57064312642
104,49141.015507493226,49105.877147643696,49150.927520534395,49149.98806455762,49151.04531092394
112,49138.80353056248,49105.877147643696,49149.75320056343,49149.98806455762,49148.29050834225
120,49138.31249268646,49105.877147643696,49148.109152604084,49147.6394246157,49148.00883013893
128,49139.60316781893,49105.877147643696,49147.87428860989,49147.6394246157,49146.24766276394
136,49142.64580891953,49105.877147643696,49151.16238452858,49152.33670449954,49151.451339598716
144,49138.437668357394,49105.877147643696,49147.6394246157,49147.6394246157,49148.94409440422
152,49134.104162580516,49105.877147643696,49144.821056685396,49145.29078467378,49144.829398323185
160,49136.91709687088,49105.877147643696,49146.69996863894,49147.6394246157,49152.63337237535
168,49139.24455962994,49105.877147643696,49149.518336569236,49149.98806455762,49150.99317933312
176,49137.87690176793,49105.877147643696,49147.6394246157,49147.6394246157,49152.64239574496
184,49135.493011643994,49105.877147643696,49147.6394246157,49147.6394246157,49147.65999470399
192,49140.00411833386,49105.877147643696,49148.109152604084,49147.6394246157,49150.17312386049
200,49139.61816143502,49105.877147643696,49149.28347257504,49149.98806455762,49150.27537867302
208,49139.99319341946,49105.877147643696,49149.04860858085,49149.98806455762,49147.50061464473
216,49136.48643504207,49105.877147643696,49146.934832633124,49147.6394246157,49146.13139206873
224,49134.38210650203,49105.877147643696,49143.646736714436,49142.94214473186,49143.18855857782
232,49141.33593606274,49105.877147643696,49147.40456062151,49147.6394246157,49142.40701156115
240,49137.02601234789,49105.877147643696,49148.34401659827,49147.6394246157,49144.95167655572
248,49137.203589615936,49105.877147643696,49149.28347257504,49149.98806455762,49148.765659674544
256,49135.28384151964,49105.877147643696,49146.69996863894,49147.6394246157,49145.839715418275
264,49135.95674628252,49105.877147643696,49145.05592067959,49145.29078467378,49142.307796011046
272,49135.46806778882,49105.877147643696,49146.69996863894,49147.6394246157,49148.56818005154
280,49133.99228973305,49105.877147643696,49142.94214473186,49142.94214473186,49146.50426210705
288,49133.3871501046,49105.877147643696,49140.82836878413,49140.59350478994,49147.111691543476
296,49129.72731915377,49105.877147643696,49142.0026887551,49142.94214473186,49143.70286356193
304,49135.595771887296,49105.877147643696,49144.35132869702,49145.29078467378,49147.67703540042
312,49135.59945063489,49105.877147643696,49144.11646470281,49142.94214473186,49148.35566568182
320,49131.707348387026,49105.877147643696,49143.646736714436,49142.94214473186,49147.088637016815
328,49135.39486490946,49105.877147643696,49143.646736714436,49142.94214473186,49149.12253042954
336,49136.28694697426,49105.877147643696,49145.29078467378,49145.29078467378,49145.463544054015
344,49131.57272458131,49105.877147643696,49142.0026887551,49142.94214473186,49142.102350943635
352,49135.235190349704,49105.877147643696,49141.7678247609,49140.59350478994,49141.57822326034
360,49131.41326552543,49105.877147643696,49141.063232778324,49140.59350478994,49138.14711666953
368,49132.448779673905,49105.877147643696,49143.88160070863,49142.94214473186,49142.912453413715
376,49135.96660965349,49105.877147643696,49142.0026887551,49142.94214473186,49139.4317213761
384,49135.34609610883,49105.877147643696,49146.69996863894,49147.6394246157,49143.238834457465
392,49140.95070895966,49105.877147643696,49146.23024065054,49145.29078467378,49146.36293166863
400,49136.581972035776,49105.877147643696,49145.760512662164,49145.29078467378,49148.83482803957
408,49135.59967888309,49105.877147643696,49144.58619269121,49145.29078467378,49143.834156324505
416,49134.0704493168,49105.877147643696,49146.69996863894,49147.6394246157,49147.15403859088
424,49136.97821345166,49105.877147643696,49148.578880592475,49147.6394246157,49148.24840676855
432,49136.499586270234,49105.877147643696,49149.28347257504,49149.98806455762,49144.73317981391
440,49143.7975561029,49105.877147643696,49149.04860858085,49149.98806455762,49150.14705897632
448,49137.165748225176,49105.877147643696,49149.75320056343,49149.98806455762,49148.041909618274
456,49138.80278136884,49105.877147643696,49147.40456062151,49147.6394246157,49148.0699770902
464,49137.9225409635,49105.877147643696,49145.995376656356,49145.29078467378,49150.14405149147
472,49136.97221570438,49105.877147643696,49144.11646470281,49145.29078467378,49146.63356513509
480,49134.352131981206,49105.877147643696,49142.70728073767,49142.94214473186,49147.32820467536
488,49138.2370426007,49105.877147643696,49144.35132869702,49145.29078467378,49147.04356006518
496,49135.02049142303,49105.877147643696,49143.88160070863,49142.94214473186,49141.05410675715
