time,hilbert transform,fft without zero padding,fft with zero padding (bin width of 10 mHz),fft with zero padding (bin width of 100 mHz),comparator
0,49136.51331067969,49105.877147643696,49147.169696627316,49147.6394246157,49146.60650165432
8,49133.48180132685,49105.877147643696,49145.760512662164,49145.29078467378,49146.83804573097
16,49132.54923347885,49105.877147643696,49145.05592067959,49145.29078467378,49143.53048023661
24,49136.86724869879,49105.877147643696,49145.05592067959,49145.29078467378,49147.54772688166
32,49137.959831189735,49105.877147643696,49145.760512662164,49145.29078467378,49147.37732134574
40,49134.49655111628,49105.877147643696,49144.821056685396,49145.29078467378,49143.85319884451
48,49135.169664555215,49105.877147643696,49143.88160070863,49142.94214473186,49143.27290973072
56,49132.90570853258,49105.877147643696,49142.94214473186,49142.94214473186,49143.26188537243
64,49135.26474253688,49105.877147643696,49145.29078467378,49145.29078467378,49145.14211108039
72,49139.246018074584,49105.877147643696,49148.109152604084,49147.6394246157,49147.432452419234
80,49135.6412343139,49105.877147643696,49146.69996863894,49147.6394246157,49148.236377760746
88,49135.92916792302,49105.877147643696,49144.35132869702,49145.29078467378,49148.23938501215
96,49132.175950236,49105.877147643696,49142.0026887551,49142.94214473186,49141.98409553744
104,49131.990382287586,49105.877147643696,49143.411872720244,49142.94214473186,49139.81050220027
112,49131.15879292041,49105.877147643696,49141.53296076671,49140.59350478994,49140.798566436126
120,49128.55144360521,49105.877147643696,49140.35864079575,49140.59350478994,49139.461783132945
128,49129.90367565699,49105.877147643696,49141.53296076671,49140.59350478994,49140.810591803405
136,49130.02503649726,49105.877147643696,49142.472416743476,49142.94214473186,49143.86923466227
144,49132.44081437216,49105.877147643696,49142.70728073767,49142.94214473186,49145.230312834006
152,49134.34806285467,49105.877147643696,49143.411872720244,49142.94214473186,49147.2700667026
160,49133.57853162167,49105.877147643696,49143.17700872605,49142.94214473186,49145.43077254237
168,49132.521257841574,49105.877147643696,49142.94214473186,49142.94214473186,49142.23363515445
176,49132.94969289741,49105.877147643696,49143.411872720244,49142.94214473186,49141.01301970269
184,49131.24223497852,49105.877147643696,49142.94214473186,49142.94214473186,49140.18928886398
192,49130.96983953906,49105.877147643696,49142.23755274929,49142.94214473186,49140.14319282034
200,49131.84217053657,49105.877147643696,49142.70728073767,49142.94214473186,49142.866013966304
208,49130.97970419978,49105.877147643696,49141.53296076671,49140.59350478994,49141.33670738335
216,49132.37655355909,49105.877147643696,49142.0026887551,49142.94214473186,49140.674304652195
224,49128.60375851459,49105.877147643696,49141.063232778324,49140.59350478994,49138.212247117066
232,49131.32104020647,49105.877147643696,49140.35864079575,49140.59350478994,49139.56098719148
240,49130.36157675621,49105.877147643696,49141.063232778324,49140.59350478994,49139.19924503196
248,49129.5256967423,49105.877147643696,49141.063232778324,49140.59350478994,49137.55694248468
256,49132.312776829815,49105.877147643696,49140.59350478994,49140.59350478994,49137.24733215566
264,49131.902812447144,49105.877147643696,49139.88891280737,49140.59350478994,49141.14229383771
272,49126.12390636906,49105.877147643696,49138.47972884221,49138.24486484801,49133.6785782823
280,49128.66547057313,49105.877147643696,49138.47972884221,49138.24486484801,49137.52387711783
288,49129.13512924353,49105.877147643696,49139.18432082479,49138.24486484801,49139.220288058765
296,49133.94273821006,49105.877147643696,49141.53296076671,49140.59350478994,49145.09299887755
304,49134.15158901766,49105.877147643696,49143.88160070863,49142.94214473186,49146.18451568018
312,49136.60089602631,49105.877147643696,49145.995376656356,49145.29078467378,49148.485980879275
320,49139.13080958052,49105.877147643696,49145.29078467378,49145.29078467378,49149.257861986836
328,49135.988377610614,49105.877147643696,49146.23024065054,49145.29078467378,49149.73002458939
336,49134.16934512946,49105.877147643696,49145.52564866797,49145.29078467378,49143.491393488
344,49133.43437612152,49105.877147643696,49145.995376656356,49145.29078467378,49142.997302257434
352,49134.906399532345,49105.877147643696,49144.821056685396,49145.29078467378,49144.31323052272
360,49137.03418956697,49105.877147643696,49145.52564866797,49145.29078467378,49143.19974817279
368,49138.41258018752,49105.877147643696,49145.05592067959,49145.29078467378,49147.6479659842
376,49135.7641639779,49105.877147643696,49144.35132869702,49145.29078467378,49145.242340370394
384,49132.66357959654,49105.877147643696,49143.411872720244,49142.94214473186,49142.6425248246
392,49135.360562981696,49105.877147643696,49143.17700872605,49142.94214473186,49144.33327567184
400,49133.360257065215,49105.877147643696,49141.7678247609,49142.94214473186,49138.96877496552
408,49131.78212573191,49105.877147643696,49142.70728073767,49142.94214473186,49140.40974939901
416,49136.492168311524,49105.877147643696,49143.17700872605,49142.94214473186,49143.479366808635
424,49134.037506460234,49105.877147643696,49143.411872720244,49142.94214473186,49143.54451139229
