time,hilbert transform,fft without zero padding,fft with zero padding (bin width of 10 mHz),fft with zero padding (bin width of 100 mHz),comparator
0,49142.8766419536,49128.96487288239,49147.6394246157,49147.6394246157,49146.356275099555
8,49141.33033240481,49128.96487288239,49145.760512662164,49145.29078467378,49145.87089013865
16,49139.80426000917,49128.96487288239,49145.05592067959,49145.29078467378,49145.51491470723
24,49141.681432954305,49128.96487288239,49145.29078467378,49145.29078467378,49146.192688553674
32,49141.305934208234,49128.96487288239,49145.760512662164,49145.29078467378,49146.42463994884
40,49138.828270553015,49128.96487288239,49144.11646470281,49142.94214473186,49144.75561534609
48,49138.28414634454,49128.96487288239,49143.88160070863,49142.94214473186,49143.24343435961
56,49136.67921318859,49128.96487288239,49143.411872720244,49142.94214473186,49141.91443252565
64,49140.82167952077,49128.96487288239,49145.760512662164,49145.29078467378,49145.86307717946
72,49144.12326468739,49128.96487288239,49148.109152604084,49147.6394246157,49148.029315250256
80,49142.67952933644,49128.96487288239,49146.69996863894,49147.6394246157,49147.210849386334
88,49140.79277445355,49128.96487288239,49144.11646470281,49142.94214473186,49145.145760447376
96,49136.320930287955,49128.96487288239,49142.23755274929,49142.94214473186,49142.92802183475
104,49136.35676427008,49128.96487288239,49143.646736714436,49142.94214473186,49141.452569954345
112,49136.513117600465,49128.96487288239,49141.063232778324,49140.59350478994,49141.58194918618
120,49136.408440865576,49128.96487288239,49140.82836878413,49140.59350478994,49141.00438603394
128,49137.016247754684,49128.96487288239,49141.7678247609,49142.94214473186,49142.80547100163
136,49138.36423278558,49128.96487288239,49142.23755274929,49142.94214473186,49142.71416858703
144,49137.534079580524,49128.96487288239,49142.70728073767,49142.94214473186,49143.54273822382
152,49138.092847778986,49128.96487288239,49142.94214473186,49142.94214473186,49143.99243326508
160,49139.66914996209,49128.96487288239,49143.646736714436,49142.94214473186,49146.08477086139
168,49136.85008760059,49128.96487288239,49142.94214473186,49142.94214473186,49142.13364940584
176,49136.856782210896,49128.96487288239,49142.70728073767,49142.94214473186,49141.706446826014
184,49136.40121830395,49128.96487288239,49142.70728073767,49142.94214473186,49142.22055552555
192,49137.62814912506,49128.96487288239,49142.23755274929,49142.94214473186,49142.305997235024
200,49137.5452313863,49128.96487288239,49142.23755274929,49142.94214473186,49142.52863531375
208,49136.58041871524,49128.96487288239,49141.7678247609,49140.59350478994,49141.609778015634
216,49135.47629082505,49128.96487288239,49142.23755274929,49142.94214473186,49142.525705852255
224,49134.858153582536,49128.96487288239,49141.298096772516,49140.59350478994,49140.74172866871
232,49133.520160501714,49128.96487288239,49139.41918481898,49138.24486484801,49139.629615770944
240,49134.93135285967,49128.96487288239,49141.298096772516,49140.59350478994,49140.03286072373
248,49133.86436811296,49128.96487288239,49141.298096772516,49140.59350478994,49138.69280467892
256,49135.018799354315,49128.96487288239,49140.35864079575,49140.59350478994,49140.63237029621
264,49135.58464525136,49128.96487288239,49139.41918481898,49140.59350478994,49139.78485941237
272,49131.52557616148,49128.96487288239,49137.775136859644,49138.24486484801,49136.152512882196
280,49132.83127130892,49128.96487288239,49138.24486484802,49138.24486484801,49137.209796889285
288,49133.14079010468,49128.96487288239,49139.41918481898,49138.24486484801,49138.5922424012
296,49138.74323771704,49128.96487288239,49141.7678247609,49140.59350478994,49141.47600463261
304,49139.84673442403,49128.96487288239,49143.411872720244,49142.94214473186,49145.669218924966
312,49142.40045295824,49128.96487288239,49145.52564866797,49145.29078467378,49146.01543033181
320,49142.684488804945,49128.96487288239,49144.821056685396,49145.29078467378,49148.68274014457
328,49143.704632368186,49128.96487288239,49145.995376656356,49145.29078467378,49147.94141188186
336,49139.158533861366,49128.96487288239,49145.29078467378,49145.29078467378,49145.20337939782
344,49139.923250408036,49128.96487288239,49145.995376656356,49145.29078467378,49144.47143345202
352,49139.09281373708,49128.96487288239,49145.52564866797,49145.29078467378,49145.12134567862
360,49139.622274252135,49128.96487288239,49145.05592067959,49145.29078467378,49144.145263095306
368,49140.50131600425,49128.96487288239,49144.821056685396,49145.29078467378,49145.765088022265
376,49138.533779777215,49128.96487288239,49144.821056685396,49145.29078467378,49145.24830274104
384,49137.70986257683,49128.96487288239,49143.411872720244,49142.94214473186,49143.38942388034
392,49137.05844452015,49128.96487288239,49143.17700872605,49142.94214473186,49143.65113301843
400,49135.33016135998,49128.96487288239,49141.53296076671,49140.59350478994,49139.82928466009
408,49137.037876097784,49128.96487288239,49143.17700872605,49142.94214473186,49141.81092768512
416,49137.37482601267,49128.96487288239,49142.94214473186,49142.94214473186,49143.15164206161
424,49138.301010755444,49128.96487288239,49142.472416743476,49142.94214473186,49142.96757024202
432,49137.24972192103,49128.96487288239,49142.23755274929,49142.94214473186,49141.932008862634
440,49136.401667436,49128.96487288239,49142.0026887551,49142.94214473186,49142.49689949942
448,49138.479287234535,49128.96487288239,49141.53296076671,49140.59350478994,49142.48859937012
456,49139.54693309715,49128.96487288239,49141.7678247609,49142.94214473186,49145.727327410015
464,49137.215934655214,49128.96487288239,49141.53296076671,49140.59350478994,49140.99950390118
472,49136.55878046652,49128.96487288239,49139.88891280737,49140.59350478994,49141.23131154278
480,49135.086378429885,49128.96487288239,49139.41918481898,49138.24486484801,49138.99693484879
488,49136.230785987886,49128.96487288239,49139.88891280737,49140.59350478994,49140.92236633215
496,49134.300536302835,49128.96487288239,49140.12377680156,49140.59350478994,49139.41481486578
504,49133.235991964226,49128.96487288239,49139.654048813165,49140.59350478994,49138.80166624935
512,49133.67727437095,49128.96487288239,49139.88891280737,49140.59350478994,49138.02695337386
520,49136.7858149121,49128.96487288239,49142.472416743476,49142.94214473186,49142.21030254038
528,49136.91627322726,49128.96487288239,49142.94214473186,49142.94214473186,49141.55607328531
536,49136.94221024748,49128.96487288239,49143.17700872605,49142.94214473186,49140.67142680194
544,49137.61517807375,49128.96487288239,49142.0026887551,49142.94214473186,49143.22195102509
552,49136.70205196268,49128.96487288239,49141.298096772516,49140.59350478994,49142.09947292612
560,49139.319341034505,49128.96487288239,49141.7678247609,49140.59350478994,49143.41676649571
568,49136.677986328126,49128.96487288239,49141.063232778324,49140.59350478994,49141.538985441184
576,49135.6813329217,49128.96487288239,49141.298096772516,49140.59350478994,49139.13850555382
584,49134.21236938329,49128.96487288239,49139.654048813165,49140.59350478994,49138.961786386346
592,49133.37073330739,49128.96487288239,49139.88891280737,49140.59350478994,49139.18390598714
600,49134.80092831086,49128.96487288239,49140.35864079575,49140.59350478994,49140.88867974823
608,49133.94095249628,49128.96487288239,49140.12377680156,49140.59350478994,49140.022608651416
616,49134.105835666545,49128.96487288239,49138.24486484802,49138.24486484801,49138.877820818525
624,49134.34697598303,49128.96487288239,49137.775136859644,49138.24486484801,49139.03403605812
632,49135.07508464873,49128.96487288239,49138.949456830596,49138.24486484801,49140.230091900085
640,49135.756428646404,49128.96487288239,49139.654048813165,49140.59350478994,49139.14338731682
648,49134.04289250256,49128.96487288239,49140.12377680156,49140.59350478994,49138.795808215335
656,49133.658874259796,49128.96487288239,49140.59350478994,49140.59350478994,49140.01528574524
664,49134.455780784,49128.96487288239,49141.298096772516,49140.59350478994,49138.62494950462
672,49138.817607045596,49128.96487288239,49144.11646470281,49145.29078467378,49143.179472668926
680,49140.28015193701,49128.96487288239,49144.58619269121,49145.29078467378,49145.61599362647
688,49137.49617342119,49128.96487288239,49142.472416743476,49142.94214473186,49142.76934059379
696,49135.491700319224,49128.96487288239,49141.7678247609,49140.59350478994,49140.71634186029
704,49136.59331219276,49128.96487288239,49141.063232778324,49140.59350478994,49141.24947034568
712,49137.067346164484,49128.96487288239,49140.82836878413,49140.59350478994,49140.372157911486
720,49136.08445175836,49128.96487288239,49140.35864079575,49140.59350478994,49142.08384940837
728,49135.646656263074,49128.96487288239,49139.41918481898,49140.59350478994,49141.11276963126
736,49134.084818117044,49128.96487288239,49138.47972884221,49138.24486484801,49139.17707150793
744,49132.22614591649,49128.96487288239,49138.949456830596,49138.24486484801,49138.21586976242
