time,hilbert transform,fft without zero padding,fft with zero padding (bin width of 10 mHz),fft with zero padding (bin width of 100 mHz),comparator
0,49145.6069366476,49144.8883140059,49147.169696627316,49147.6394246157,49147.402298304536
8,49144.34465498732,49144.8883140059,49145.995376656356,49145.29078467378,49147.07895350843
16,49144.20764087304,49144.8883140059,49145.995376656356,49145.29078467378,49144.801936525604
24,49144.4706434257,49144.8883140059,49145.52564866797,49145.29078467378,49145.462836126586
32,49145.74581657071,49144.8883140059,49146.46510464475,49147.6394246157,49146.10814392945
40,49143.8821765125,49144.8883140059,49144.11646470281,49145.29078467378,49144.509260991785
48,49142.66415832471,49144.8883140059,49144.58619269121,49145.29078467378,49143.2756552936
56,49142.48218332558,49144.8883140059,49143.646736714436,49142.94214473186,49144.47563379666
64,49144.92903597397,49144.8883140059,49146.46510464475,49147.6394246157,49146.39886058547
72,49146.51142085089,49144.8883140059,49148.34401659827,49147.6394246157,49148.680897762904
80,49145.32834547273,49144.8883140059,49146.69996863894,49147.6394246157,49146.10014742423
88,49143.221595578165,49144.8883140059,49143.88160070863,49142.94214473186,49144.625367700115
96,49141.5063277477,49144.8883140059,49143.17700872605,49142.94214473186,49141.93319020621
104,49141.95818804924,49144.8883140059,49143.646736714436,49142.94214473186,49143.30640508697
112,49139.12503575146,49144.8883140059,49140.35864079575,49140.59350478994,49141.213756595236
120,49139.66881065978,49144.8883140059,49141.063232778324,49140.59350478994,49140.906388634656
128,49141.5281818674,49144.8883140059,49142.94214473186,49142.94214473186,49142.1138470442
136,49141.71594347294,49144.8883140059,49142.472416743476,49142.94214473186,49142.56403858674
144,49142.157102919475,49144.8883140059,49142.70728073767,49142.94214473186,49142.92993950811
152,49141.092877511466,49144.8883140059,49143.17700872605,49142.94214473186,49143.09488816498
160,49143.22641760808,49144.8883140059,49143.88160070863,49142.94214473186,49144.37554578198
168,49142.15578977955,49144.8883140059,49143.88160070863,49142.94214473186,49142.93306026301
176,49142.21603686511,49144.8883140059,49142.70728073767,49142.94214473186,49142.79466188442
184,49140.85395822618,49144.8883140059,49142.70728073767,49142.94214473186,49142.80786292922
